epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,146.715,1.04765,4.52691,0.01645,0.73588,0.72105,0.81938,0.66771,0.7928,1.64818,0.01861,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,276.609,0.93191,1.40987,0.01449,0.86374,0.848,0.91547,0.75143,0.78731,0.72229,0.01829,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,400.781,0.98282,1.21221,0.01535,0.82129,0.76667,0.85534,0.6717,0.89009,0.89135,0.0213,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191,0.0296757,0.00989191
4,517.12,1.02758,1.21323,0.01612,0.84499,0.84017,0.9034,0.72451,0.83821,0.74177,0.02005,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,634.826,0.99267,1.03007,0.01543,0.89129,0.91609,0.95441,0.79198,0.72261,0.48384,0.01648,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,754.541,0.97411,0.96319,0.01511,0.8972,0.9193,0.96422,0.81206,0.69318,0.4872,0.01634,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,875.838,0.93465,0.86183,0.01438,0.87615,0.90502,0.95451,0.81313,0.65194,0.47069,0.01458,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,997.573,0.91847,0.82835,0.01377,0.90507,0.86433,0.92236,0.78307,0.75319,0.69889,0.01833,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1115.89,0.88253,0.76631,0.01351,0.9289,0.94227,0.97291,0.85229,0.57439,0.34149,0.01253,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1231.42,0.85771,0.73851,0.0128,0.92591,0.94666,0.97543,0.84781,0.58852,0.33274,0.01323,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1348.36,0.84272,0.68643,0.01261,0.93396,0.95295,0.97734,0.86062,0.55742,0.31325,0.01241,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1465.06,0.8261,0.68127,0.01239,0.92827,0.95464,0.96651,0.85228,0.56338,0.31331,0.01263,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1580.84,0.8212,0.64292,0.01232,0.92895,0.94618,0.97266,0.85011,0.58714,0.36136,0.01316,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1697.88,0.82214,0.65386,0.01224,0.93679,0.96572,0.97942,0.87689,0.50931,0.27146,0.01107,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1814.68,0.79575,0.63905,0.01192,0.94039,0.95983,0.97881,0.88023,0.49695,0.2844,0.01103,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1930.03,0.78259,0.60606,0.01155,0.94145,0.96559,0.9809,0.88108,0.50631,0.26427,0.01088,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,2046.41,0.77886,0.59812,0.01143,0.94881,0.9654,0.98103,0.88663,0.48557,0.25086,0.01061,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,2163.16,0.76568,0.56888,0.01123,0.96088,0.95439,0.98248,0.87878,0.50792,0.25795,0.01124,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,2279.06,0.75747,0.55627,0.01123,0.95416,0.9672,0.98149,0.88687,0.48527,0.24566,0.01075,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,2395.44,0.74561,0.54211,0.01097,0.96521,0.96191,0.98425,0.89206,0.47265,0.23865,0.01023,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,2513.07,0.72278,0.52137,0.01061,0.95069,0.96607,0.98342,0.88633,0.49054,0.2523,0.01092,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,2628.66,0.73073,0.52575,0.01083,0.96365,0.96411,0.9831,0.89848,0.45427,0.2351,0.00988,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,2745.48,0.73524,0.51681,0.01068,0.95168,0.96538,0.98288,0.90185,0.44449,0.25321,0.00965,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,2862.85,0.71445,0.51105,0.01045,0.95135,0.97653,0.98264,0.90116,0.44886,0.22456,0.00969,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2978.79,0.72498,0.52622,0.0105,0.96499,0.96301,0.98527,0.89757,0.46558,0.24201,0.01024,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,3094.72,0.70498,0.4899,0.01019,0.96487,0.96225,0.98424,0.90347,0.4475,0.22773,0.00993,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
