epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,74.1906,0.92341,5.41351,0.02096,0.6325,0.42287,0.45439,0.36269,0.9352,2.92728,0.03273,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429
2,141.274,0.82433,1.58526,0.01841,0.75909,0.62286,0.68948,0.53247,1.04728,1.55332,0.03956,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568
3,203.458,0.87583,1.32005,0.01983,0.39113,0.33568,0.27911,0.18184,1.49734,3.03838,0.05741,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508
4,266.166,0.93118,1.27872,0.02129,0.7217,0.68152,0.69013,0.54146,0.99273,1.38622,0.03588,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,330.49,0.89583,1.16215,0.02,0.71652,0.56146,0.58577,0.45891,1.05831,2.41453,0.03819,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,395.098,0.86372,1.0896,0.01927,0.76442,0.70245,0.73615,0.57496,1.02022,1.34514,0.03679,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,457.673,0.81632,0.99048,0.01796,0.71908,0.74167,0.76624,0.6132,0.926,1.09682,0.03297,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,518.22,0.82359,0.93552,0.0181,0.81766,0.80656,0.82222,0.65561,0.90288,0.82096,0.03142,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,579.105,0.79151,0.89446,0.01726,0.78564,0.55136,0.63647,0.43619,1.19327,1.81939,0.04243,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,639.55,0.76837,0.85384,0.01659,0.83074,0.7736,0.79309,0.57567,1.16092,0.98851,0.04116,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,700.339,0.76787,0.82716,0.01633,0.78424,0.81956,0.83795,0.68339,0.81412,0.76599,0.0283,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,761.578,0.7547,0.79023,0.01608,0.75543,0.81473,0.82324,0.66281,0.87702,0.81952,0.03061,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,821.991,0.74521,0.77391,0.01598,0.77794,0.76725,0.79914,0.64913,0.8602,0.86857,0.0307,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,883.35,0.72928,0.74237,0.01541,0.84883,0.81538,0.83355,0.67656,0.85021,0.76212,0.02986,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,943.156,0.71359,0.75134,0.01517,0.73175,0.78893,0.8178,0.58514,1.12303,0.9428,0.03888,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1002.52,0.71006,0.70506,0.01507,0.79108,0.85188,0.85314,0.70684,0.79187,0.76192,0.02761,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1062.37,0.71161,0.70337,0.01513,0.84091,0.83723,0.86997,0.72632,0.7674,0.62805,0.02691,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1122.41,0.70339,0.68005,0.01488,0.81185,0.87691,0.86891,0.73046,0.74645,0.63189,0.02577,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1184.2,0.6957,0.66939,0.01484,0.81145,0.88123,0.8715,0.71979,0.77302,0.61672,0.02667,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1245.36,0.69068,0.64279,0.01463,0.8218,0.84933,0.8583,0.6996,0.83065,0.65638,0.02888,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1306.38,0.68882,0.66089,0.01438,0.85108,0.8521,0.87705,0.72678,0.76395,0.648,0.02617,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1367.34,0.68079,0.63341,0.01434,0.80656,0.80857,0.83774,0.68782,0.85891,0.77785,0.03074,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1429.13,0.67274,0.64525,0.01412,0.82303,0.86333,0.86234,0.72947,0.70314,0.61919,0.02425,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1490.46,0.66993,0.63096,0.01407,0.83139,0.86321,0.87148,0.73955,0.7162,0.604,0.02473,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1550.75,0.65284,0.58516,0.01366,0.81147,0.85693,0.8698,0.7209,0.78401,0.69418,0.02633,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1613.41,0.65238,0.61257,0.01352,0.77556,0.82934,0.83601,0.69311,0.80079,0.76699,0.02747,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1675.8,0.64826,0.58349,0.0136,0.81543,0.89223,0.88445,0.75689,0.68662,0.56004,0.02324,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1736.34,0.64733,0.58617,0.01351,0.82001,0.88053,0.88316,0.76083,0.66396,0.54713,0.02251,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1797.26,0.64643,0.58404,0.01335,0.82811,0.85672,0.87961,0.74154,0.73225,0.62345,0.02477,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,1858.39,0.63208,0.56973,0.01333,0.83275,0.86177,0.88578,0.75663,0.69058,0.57016,0.02352,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,1919.15,0.62912,0.56847,0.01307,0.80171,0.84022,0.86386,0.7271,0.77187,0.65677,0.02726,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,1980.39,0.63188,0.56066,0.0131,0.82177,0.86132,0.88142,0.75775,0.67064,0.57982,0.02279,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2041.76,0.61531,0.54499,0.01286,0.86612,0.83075,0.86804,0.73999,0.73953,0.68147,0.02501,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2100.83,0.61081,0.53512,0.01262,0.85027,0.83115,0.87196,0.72862,0.75848,0.72199,0.02585,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2160.62,0.62724,0.53363,0.01302,0.78366,0.88321,0.87736,0.74587,0.71652,0.5593,0.02403,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2220.3,0.6121,0.52108,0.01275,0.84049,0.87504,0.88234,0.75275,0.70194,0.5326,0.02384,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2280.27,0.61626,0.52887,0.01279,0.85828,0.87231,0.90243,0.76875,0.69189,0.5179,0.02344,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2347.01,0.61869,0.52632,0.01255,0.8431,0.87439,0.8843,0.75145,0.69866,0.54723,0.02369,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2419.92,0.6085,0.51478,0.01264,0.77039,0.76669,0.83147,0.67752,0.84805,0.97404,0.02966,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2487.03,0.60181,0.52515,0.01244,0.85057,0.89649,0.89692,0.78308,0.63665,0.49144,0.02136,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2553.31,0.5971,0.51009,0.01221,0.87186,0.888,0.90435,0.76506,0.70159,0.47084,0.02436,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2620.96,0.59957,0.49684,0.01245,0.83905,0.87645,0.89356,0.76901,0.6775,0.52752,0.02285,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2684.42,0.59217,0.49668,0.0122,0.82591,0.91491,0.90281,0.7897,0.60991,0.46458,0.02087,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2748.75,0.59664,0.49803,0.01237,0.84883,0.88291,0.9013,0.78683,0.62395,0.45861,0.02093,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2816.44,0.58767,0.50374,0.01216,0.84073,0.91106,0.91018,0.79185,0.60922,0.43459,0.02072,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2891.65,0.58507,0.50169,0.01197,0.86422,0.87405,0.90379,0.79642,0.63572,0.47784,0.02145,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2957.78,0.58388,0.48348,0.01189,0.87353,0.90093,0.90723,0.79418,0.60467,0.43737,0.02056,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,3022.14,0.58443,0.47928,0.01207,0.87383,0.90095,0.90865,0.79966,0.58797,0.45058,0.01995,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,3090.89,0.58495,0.48591,0.01192,0.87914,0.89607,0.91292,0.79858,0.6008,0.44758,0.02035,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,3180.39,0.56507,0.46101,0.01156,0.86385,0.89362,0.9068,0.7994,0.60353,0.45274,0.02018,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,3264.77,0.57919,0.47314,0.01189,0.899,0.87421,0.89874,0.78614,0.62057,0.47486,0.02156,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,3338.71,0.56955,0.47057,0.01154,0.85165,0.90636,0.91263,0.79698,0.60943,0.42603,0.0208,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,3411.41,0.57187,0.46581,0.01176,0.89162,0.89417,0.91368,0.80297,0.59916,0.42238,0.02033,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,3481.17,0.56495,0.46545,0.01157,0.84513,0.88943,0.91048,0.79986,0.59181,0.46374,0.01983,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,3549.57,0.55919,0.45726,0.01144,0.87594,0.89441,0.91141,0.8055,0.59026,0.41169,0.01995,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,3622.16,0.56883,0.46471,0.0116,0.85399,0.90032,0.90511,0.77387,0.67365,0.47986,0.02305,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,3698.3,0.56106,0.47233,0.01153,0.85711,0.89522,0.91238,0.80324,0.59072,0.43172,0.01982,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3770.95,0.56573,0.46806,0.01167,0.87652,0.89912,0.91039,0.77708,0.67906,0.44414,0.02357,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,3843.1,0.55864,0.46751,0.01144,0.89947,0.87692,0.91588,0.80825,0.59448,0.42711,0.02024,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3912.25,0.5544,0.45634,0.01128,0.86463,0.91086,0.91738,0.82149,0.54402,0.42201,0.01805,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3977.31,0.54294,0.45466,0.01104,0.88542,0.87666,0.91756,0.80726,0.59893,0.4333,0.02063,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,4041.6,0.5514,0.44242,0.01119,0.85505,0.90933,0.91651,0.80456,0.5997,0.41626,0.0203,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,4105.85,0.55163,0.44869,0.01119,0.88141,0.88915,0.91816,0.80203,0.59925,0.42298,0.02012,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,4172.54,0.55527,0.4428,0.01141,0.86736,0.90702,0.91962,0.8132,0.57269,0.40092,0.01931,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,4239.32,0.54657,0.44123,0.01117,0.88052,0.89542,0.91423,0.81835,0.5387,0.4247,0.01815,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,4304.38,0.5397,0.43631,0.01094,0.88999,0.90261,0.9225,0.82786,0.5309,0.39222,0.01802,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,4369.56,0.55264,0.44767,0.01119,0.87559,0.9126,0.92532,0.83563,0.51149,0.37806,0.01697,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,4433.92,0.54461,0.43325,0.01106,0.86811,0.9112,0.92592,0.83124,0.53058,0.37685,0.01787,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,4499.36,0.54547,0.43301,0.01099,0.87483,0.91272,0.9274,0.83627,0.51151,0.36719,0.017,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,4564.33,0.53893,0.42899,0.01098,0.88309,0.90307,0.92232,0.83241,0.51538,0.38286,0.01713,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,4629.06,0.53663,0.42662,0.01082,0.88716,0.91462,0.93069,0.8434,0.50865,0.36712,0.01692,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,4692.88,0.53885,0.42156,0.01097,0.89059,0.91106,0.92837,0.842,0.4947,0.37591,0.01626,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,4756.4,0.53373,0.41787,0.01077,0.89462,0.90016,0.93328,0.84402,0.50249,0.36116,0.01653,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,4820.14,0.54536,0.43667,0.01081,0.89448,0.90883,0.92661,0.84193,0.4923,0.35867,0.01616,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,4883.85,0.55275,0.43825,0.0112,0.88804,0.90297,0.92568,0.83751,0.50201,0.37165,0.01651,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,4948.95,0.54666,0.44075,0.01119,0.86846,0.83856,0.90944,0.81781,0.5129,0.53755,0.01694,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,5014.42,0.54447,0.43684,0.01121,0.87705,0.91414,0.93095,0.84188,0.50672,0.35103,0.01679,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,5078.34,0.53466,0.42254,0.01082,0.88058,0.9217,0.93339,0.82762,0.55054,0.36519,0.01864,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,5141.54,0.53786,0.42206,0.011,0.87037,0.91594,0.932,0.84121,0.51598,0.36677,0.01722,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,5204.88,0.52827,0.40995,0.01059,0.88723,0.91764,0.93378,0.84838,0.48558,0.34204,0.01589,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,5268.3,0.52623,0.41973,0.0107,0.89091,0.90312,0.93259,0.84661,0.49238,0.36006,0.0163,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,5332.65,0.53154,0.41864,0.01072,0.88715,0.91016,0.93584,0.84621,0.49303,0.35801,0.01642,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,5396.95,0.54006,0.41853,0.01094,0.8878,0.91111,0.93462,0.85197,0.46585,0.34044,0.01523,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,5462.46,0.5255,0.41212,0.01059,0.88415,0.9199,0.93851,0.85144,0.47576,0.33958,0.01561,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,5527.23,0.53388,0.41432,0.01084,0.92018,0.90457,0.94185,0.85497,0.47671,0.31747,0.0155,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,5593.66,0.52525,0.40149,0.01084,0.87512,0.92128,0.93436,0.84947,0.4742,0.33554,0.01564,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,5658.58,0.52332,0.41396,0.01066,0.86626,0.9304,0.94016,0.85423,0.47307,0.32605,0.01556,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,5725.42,0.53192,0.4218,0.01062,0.87219,0.93146,0.94253,0.856,0.46963,0.31649,0.0153,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,5789.66,0.51627,0.39835,0.01044,0.90692,0.91891,0.94253,0.85815,0.46401,0.31254,0.01526,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
