epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6389,2.0623,11.4487,0.69892,7.94985,0.04428,29.3838,0.00557,0.8,0.04131,0.01769,0,0,0,0,1.49486,11.3844,0.69464,14.8489,0.03778,0,1.111e-05,1.111e-05,1.111e-05
2,39.559,1.84459,11.3204,0.70204,8.56771,0.0419,30.973,0.00679,0.8,0.02526,0.00744,0,0,0,0,1.54163,11.3626,0.69451,14.8798,0.03914,0,3.22301e-05,3.22301e-05,3.22301e-05
3,58.2206,1.98867,11.5816,0.71359,7.95386,0.04663,35.6041,0.00625,0.8,0.0257,0.00708,0,0,0,0,1.48796,11.3513,0.69421,14.7224,0.03859,0,5.18837e-05,5.18837e-05,5.18837e-05
4,77.5544,1.8497,10.8985,0.69937,8.3564,0.0441,32.7179,0.00636,0.8,0.024,0.00677,0,0,0,0,1.42248,11.4084,0.69465,14.5199,0.03663,0,7.00708e-05,7.00708e-05,7.00708e-05
5,96.2343,1.80022,11.1991,0.70578,7.30662,0.03864,29.9327,0.00612,0.8,0.03556,0.00727,0,0,0,0,1.28812,11.3111,0.69481,14.2754,0.0323,0,8.67913e-05,8.67913e-05,8.67913e-05
6,114.907,1.89553,11.3524,0.70383,8.43089,0.04356,31.1161,0.00531,0.73333,0.02025,0.00818,0,0,0,0,1.18464,11.3226,0.6954,14.0569,0.03037,0,0.000102045,0.000102045,0.000102045
7,133.501,1.42965,11.2469,0.70979,8.71914,0.03085,31.6913,0.00543,0.73333,0.01676,0.00681,0,0,0,0,1.01153,11.2639,0.69753,13.7294,0.0266,0,0.000115833,0.000115833,0.000115833
8,152.027,1.41083,11.6052,0.70631,7.2189,0.03035,28.4984,0.00487,0.8,0.09465,0.05896,0,0,0,0,1.13565,11.3138,0.69834,13.7447,0.03397,0,0.000128154,0.000128154,0.000128154
9,170.476,1.38601,11.5242,0.71323,7.29556,0.02839,28.0661,0.00462,0.8,0.10015,0.06233,0,0,0,0,1.18795,11.1479,0.6998,13.7698,0.03605,0,0.000139008,0.000139008,0.000139008
10,188.968,1.22786,11.535,0.71588,7.63728,0.02732,27.388,0.00485,0.8,0.11064,0.06681,0,0,0,0,1.13236,11.3033,0.70099,13.5785,0.03437,0,0.000148396,0.000148396,0.000148396
11,1134.24,1.30324,11.5153,0.71632,6.90092,0.02731,28.5997,0.00495,0.8,0.15628,0.101,0,0,0,0,1.27544,11.1012,0.70226,13.6068,0.03725,0,0.000156318,0.000156318,0.000156318
12,1603.53,1.14907,11.4919,0.71954,7.71497,0.02522,27.1095,0.00483,0.8,0.32742,0.21888,0,0,0,0,1.12241,11.4556,0.70578,13.4126,0.03192,0,0.000162773,0.000162773,0.000162773
13,1622.75,1.31472,11.367,0.73102,7.22599,0.02662,26.237,0.00481,0.8,0.36945,0.23633,0,0,0,0,1.18919,11.193,0.70751,13.3947,0.0365,0,0.000167761,0.000167761,0.000167761
14,1642.98,0.99041,11.2967,0.71969,6.31742,0.01909,24.5079,0.00465,0.8,0.48763,0.30544,0,0,0,0,1.16208,11.1087,0.70957,13.2733,0.03339,0,0.000171283,0.000171283,0.000171283
15,1663.5,1.10054,11.2494,0.72386,6.70223,0.023,25.6459,0.0046,0.8,0.44984,0.28261,0,0,0,0,1.04364,11.1415,0.7086,13.1109,0.02967,0,0.000173338,0.000173338,0.000173338
16,1684.38,1.14723,11.3088,0.72297,6.48757,0.02404,25.0355,0.00408,0.8,0.41378,0.27098,0,0,0,0,1.12442,11.0659,0.70995,13.1326,0.0318,0,0.000173927,0.000173927,0.000173927
17,1704.41,1.14709,11.4011,0.72197,7.19429,0.02766,25.435,0.03121,0.33333,0.2318,0.16102,0,0,0,0,1.12229,10.8103,0.71195,12.9196,0.03202,0,0.000173049,0.000173049,0.000173049
