epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7519,1.84327,11.3652,0.70497,9.25611,0.04212,30.3046,0.5056,0.25,0.3458,0.08286,0,0,0,0,1.53369,11.1205,0.68773,13.6774,0.04885,0,2e-05,2e-05,2e-05
2,45.0536,1.90959,10.8486,0.6995,9.69434,0.04556,30.4209,0.51067,0.25,0.37062,0.09382,0,0,0,0,1.57763,11.0539,0.68767,13.6753,0.05051,0,4.901e-05,4.901e-05,4.901e-05
3,67.2086,1.72966,11.048,0.70018,9.02482,0.0399,30.2385,0.11236,0.83333,0.39404,0.13019,0,0,0,0,1.43471,11.1523,0.68775,13.344,0.04627,0,7.6832e-05,7.6832e-05,7.6832e-05
4,89.4377,1.67461,11.3674,0.70504,8.80968,0.03956,30.8372,0.00931,1,0.18377,0.07215,0,0,0,0,1.39148,11.2016,0.68836,13.0871,0.04563,0,0.000103466,0.000103466,0.000103466
5,111.651,1.66566,11.3695,0.71037,8.50852,0.04051,31.6348,0.01117,1,0.16517,0.07836,0,0,0,0,1.21051,11.0276,0.69184,12.685,0.03811,0,0.000128912,0.000128912,0.000128912
6,134.484,1.38854,11.2106,0.71073,7.50322,0.03124,28.7261,0.30209,0.375,0.15736,0.09281,0,0,0,0,0.96852,11.1054,0.69305,12.3924,0.02927,0,0.00015317,0.00015317,0.00015317
7,157.329,1.31593,11.2049,0.7145,7.91187,0.02883,28.9593,0.83124,0.125,0.27025,0.13577,0,0,0,0,1.08875,11.069,0.69582,12.4553,0.03389,0,0.00017624,0.00017624,0.00017624
8,179.366,1.28883,11.1527,0.70419,8.05006,0.02745,27.0226,0.59765,0.125,0.31646,0.13698,0,0,0,0,1.05307,11.099,0.70093,12.4355,0.0327,0,0.000198122,0.000198122,0.000198122
9,201.203,1.21292,11.372,0.71621,7.97073,0.02747,27.6674,0.27493,0.125,0.30786,0.1364,0,0,0,0,1.19859,11.1962,0.71251,12.5571,0.0384,0,0.000218816,0.000218816,0.000218816
10,223.212,1.09854,11.1606,0.72356,7.16602,0.02331,26.2463,0.33864,0.20963,0.35562,0.20123,0,0,0,0,1.00488,11.1869,0.72261,12.2917,0.03023,0,0.000238322,0.000238322,0.000238322
11,245.635,1.1045,10.9509,0.72409,6.51356,0.02198,23.9509,0.53895,0.21023,0.37947,0.24975,0,0,0,0,0.93716,11.0683,0.74892,11.9716,0.02705,0,0.00025664,0.00025664,0.00025664
12,267.613,1.13044,10.8627,0.74188,8.39005,0.02283,23.8538,0.34909,0.625,0.37731,0.25061,0,0,0,0,0.78735,11.1674,0.77791,11.5665,0.02354,0,0.00027377,0.00027377,0.00027377
13,289.344,1.04176,11.0752,0.73626,6.70381,0.02163,23.0764,0.59981,0.24937,0.46213,0.35957,0,0,0,0,1.0028,10.9389,0.80345,11.5348,0.03112,0,0.000289712,0.000289712,0.000289712
14,312.253,1.0735,11.0065,0.73562,6.47724,0.02271,22.8509,0.57465,0.375,0.51255,0.39097,0,0,0,0,1.05375,10.7809,0.81529,11.3459,0.03343,0,0.000304466,0.000304466,0.000304466
15,335.472,0.993,10.8511,0.72016,7.43405,0.0215,22.6076,0.45851,0.48621,0.48244,0.36257,0,0,0,0,1.05316,10.6881,0.76987,11.2922,0.03386,0,0.000318032,0.000318032,0.000318032
16,358.377,1.07534,10.7296,0.76734,7.53742,0.02398,22.3589,0.53644,0.625,0.48544,0.33883,0,0,0,0,1.199,10.6149,0.77139,11.2594,0.03801,0,0.00033041,0.00033041,0.00033041
17,380.478,0.98528,10.5633,0.73981,6.468,0.01981,19.8677,0.39606,0.28514,0.3969,0.22909,0,0,0,0,1.27059,10.738,0.74058,11.5295,0.03748,0,0.0003416,0.0003416,0.0003416
18,402.668,0.99063,10.7469,0.73733,6.37639,0.0197,19.3828,0.44765,0.47082,0.40852,0.21829,0,0,0,0,1.39649,10.414,0.7293,11.5938,0.04253,0,0.000351602,0.000351602,0.000351602
19,425.144,1.35045,10.5169,0.73502,7.44574,0.03297,20.403,0.59868,0.30508,0.53872,0.29368,0,0,0,0,1.3214,10.5236,0.71009,11.1928,0.03986,0,0.000360416,0.000360416,0.000360416
20,447.644,1.2258,10.8347,0.7372,7.11602,0.02623,21.2216,0.53719,0.37419,0.47614,0.33892,0,0,0,0,1.01009,10.4579,0.68793,10.6908,0.03132,0,0.000368042,0.000368042,0.000368042
21,470.429,0.98483,10.7055,0.74201,6.48846,0.0211,18.9418,0.54152,0.36865,0.48306,0.35228,0,0,0,0,1.01313,9.88872,0.64258,10.4883,0.0333,0,0.00037448,0.00037448,0.00037448
22,492.697,0.99796,10.4737,0.72356,5.60963,0.02018,18.0952,0.4652,0.49882,0.48658,0.37846,0,0,0,0,1.05105,9.71099,0.62705,10.4655,0.03485,0,0.00037973,0.00037973,0.00037973
23,515.473,1.04514,10.3942,0.69495,6.03201,0.02185,18.1994,0.41574,0.59166,0.46097,0.31615,0,0,0,0,1.02458,9.99662,0.62844,10.5374,0.03171,0,0.000383792,0.000383792,0.000383792
24,538.256,1.01744,10.3191,0.72878,6.50406,0.02286,17.9052,0.44822,0.625,0.49236,0.35313,0,0,0,0,1.03082,9.95817,0.60596,10.4889,0.03312,0,0.000386666,0.000386666,0.000386666
